 Ghantaghar, Arushi Boutique hotel, Thamel Market, Civil Mall
 Royal Empire Boutique Hotel, Arushi Boutique hotel, Kapan Gumba, Kalikasthan Temple
 National history Museum, Ason, Kalikasthan Temple, Santaneshwor Mahadev
 Ratnapark, Bhaktapur Durbar Square, RaniPokhari, Civil Mall
 Birendra Park, Nepal mediciti Hospital, Whoopee land amusement park, Thamel Market
 Kashmeeree jama masjid, Champadevi, Buddhanilkantha, Dhulikhel Zipline
 Tu Teaching Hospital, Embassy of Japan, Buddhanilkantha, US embassy
 Suryabinayak Ganesh Temple, Kathmandu Durbar Square, Buddhanilkantha, Nagpokhari
 The millionaire's club and casino, Naxal, Tribhuvan Internation Airport, Casino Royale
 Labim Mall, Tu Teaching Hospital, Casino place, Sankha Park
 Jamal, Embassy of Switzerland, Chandragiri Temple, Nepal mediciti Hospital
 Chandragiri hills, Trisara, Gokarna Golf Course, Lainchour
 Embassy of Switzerland, City Centre, National history Museum, Nepal police hospital
 Naxal, Tribhuvan Park, Kathmandu Funpark, Civil Mall
 Nepal police hospital, Pashupatinath Temple, Nagpokhari, Civil Mall
 Daman, RaniPokhari, Nagdaha, Pashupatinath Temple
 Jamal, Embassy of Switzerland, Tribhuvan Internation Airport, Taudaha
 Whoopee land amusement park, Pashupatinath Temple, RaniPokhari, Kamalpokhari
 Ghantaghar, Civil Mall, Arushi Boutique hotel, Thamel Market
 Kalikasthan Temple, Royal Empire Boutique Hotel, Kapan Gumba, Arushi Boutique hotel
 Santaneshwor Mahadev, Kalikasthan Temple, Ason, National history Museum
 Ratnapark, Bhaktapur Durbar Square, Civil Mall, RaniPokhari
 Whoopee land amusement park, Nepal mediciti Hospital, Birendra Park, Thamel Market
 Champadevi, Buddhanilkantha, Kashmeeree jama masjid, Dhulikhel Zipline
 Embassy of Japan, Buddhanilkantha, US embassy, Tu Teaching Hospital
 Nagpokhari, Buddhanilkantha, Suryabinayak Ganesh Temple, Kathmandu Durbar Square
 Casino Royale, The millionaire's club and casino, Naxal, Tribhuvan Internation Airport
 Tu Teaching Hospital, Casino place, Sankha Park, Labim Mall
 Jamal, Nepal mediciti Hospital, Chandragiri Temple, Embassy of Switzerland
 Gokarna Golf Course, Lainchour, Trisara, Chandragiri hills
 City Centre, Nepal police hospital, National history Museum, Embassy of Switzerland
 Tribhuvan Park, Naxal, Kathmandu Funpark, Civil Mall
 Nepal police hospital, Nagpokhari, Civil Mall, Pashupatinath Temple
 Nagdaha, Daman, RaniPokhari, Pashupatinath Temple
 Taudaha, Jamal, Tribhuvan Internation Airport, Embassy of Switzerland
 Whoopee land amusement park, Pashupatinath Temple, RaniPokhari, Kamalpokhari
 Thamel Market, Civil Mall, Ghantaghar, Arushi Boutique hotel
 Royal Empire Boutique Hotel, Kapan Gumba, Kalikasthan Temple, Arushi Boutique hotel
 Santaneshwor Mahadev, Ason, Kalikasthan Temple, National history Museum
 Ratnapark, Civil Mall, Bhaktapur Durbar Square, RaniPokhari
 Nepal mediciti Hospital, Thamel Market, Birendra Park, Whoopee land amusement park
 Buddhanilkantha, Dhulikhel Zipline, Kashmeeree jama masjid, Champadevi
 Buddhanilkantha, Tu Teaching Hospital, Embassy of Japan, US embassy
 Buddhanilkantha, Kathmandu Durbar Square, Suryabinayak Ganesh Temple, Nagpokhari
 Tribhuvan Internation Airport, The millionaire's club and casino, Casino Royale, Naxal
 Sankha Park, Tu Teaching Hospital, Labim Mall, Casino place
 Embassy of Switzerland, Chandragiri Temple, Nepal mediciti Hospital, Jamal
 Chandragiri hills, Lainchour, Gokarna Golf Course, Trisara
 Nepal police hospital, Embassy of Switzerland, City Centre, National history Museum
 Civil Mall, Tribhuvan Park, Kathmandu Funpark, Naxal
 Civil Mall, Nepal police hospital, Pashupatinath Temple, Nagpokhari
 Nagdaha, Daman, RaniPokhari, Pashupatinath Temple
 Tribhuvan Internation Airport, Embassy of Switzerland, Taudaha, Jamal
 Whoopee land amusement park, RaniPokhari, Pashupatinath Temple, Kamalpokhari
