Eyeplex Mall, Indian Embassy, Labim Mall, Kasthamandap Boutique Hotel, Lord Of The Drinks, Babar Mahal Villas, Santaneshwor Mahadev, City Centre, Arushi Boutique hotel, Nagpokhari, New Baneshwar, Swayambunath Temple, Military museum, Boudhanath Temple, Chisapani, The millionaire's club and casino, Jhamshikhel, Sherpa Mall, Garden Of Dreams, Royal Empire Boutique Hotel, Jamal, NewRoad, Naxal, Kamalpokhari, Thamel Market, Birendra Park, Bhaktapur Durbar Square, Durbar Square Patan, Kalikasthan Temple, Mahadevsthan Temple, Club Déjà vu, Tu Teaching Hospital, Nilbarahi, Kashmeeree jama masjid, Buddhanilkantha, Naya bus park, Narayanhiti palace museum, Chovar, British Embassy, Godawari, Purple Haze RockBar, Kathmandu Durbar Square, Bhasmashur Danda, Pilot Baba Ashram, Tribhuvan Internation Airport, Nagdaha, Om Hospital, RaniPokhari, Embassy of Japan, Royal Nepal Golf Course, Shankhadhar Park, SiddhaPokhari, National history Museum, Casino Mahjong, Bhadrakali Temple, Chandragiri Temple, Lazimpat, Casino Royale, Kasthamandap, Aviation Museum, Dharhara, Ason, Kathmandu Funpark, The last resort,,,,,,,,,,
Maitidevi Temple, Kathmandu Funpark, Bhasmashur Danda, Gokarna Golf Course, Mahadevsthan Temple, 1Durbar Mall, Sukute Beach, NewRoad, Fulchowki, Shivapuri, Nilbarahi, Krishna Mandir, Kalikasthan Temple, Dhulikhel Zipline, Club Déjà vu, Tribhuvan Park, Kathmandu Fun Valley, SiddhaPokhari, Chisapani, Ghantaghar, US embassy, Arushi Boutique hotel, Nagpokhari, Kathmandu Durbar Square, Bhadrakali Temple, Santaneshwor Mahadev, Tribhuvan Internation Airport, Shankhadhar Park, Sankha Park, City Centre, Civil Mall, Kashmeeree jama masjid, Boudhanath Temple, New Baneshwar, Lazimpat, Nagdaha, Birendra Park, Sherpa Mall, Indian Embassy, Swayambunath Temple, Jamal, Casino Royale, Kasthamandap Boutique Hotel, Embassy of Japan, Embassy of Switzerland, National history Museum, Ason, Suryabinayak Ganesh Temple, Chandragiri Temple, Casino place, Royal Nepal Golf Course, Godawari, Bajrabarahi, Durbarmarg, Lord Of The Drinks, Ratnapark, Lainchour, The last resort, RaniPokhari, Maya Manor Boutique Hotel, Labim Mall, Om Hospital, Taudaha,,,,,,,,,,,
Chovar, Sukute Beach, Tribhuvan Internation Airport, Kathmandu Boutique Hotel, Bhasmashur Danda, Nagarkot, National museum, Santaneshwor Mahadev, Thamel Market, Kamladi Ganeshthan Temple, Kasthamandap, The last resort, Pilot Baba Ashram, Boudhanath Temple, Buddhanilkantha, Central Zoo, Nagpokhari, Godawari, Birendra Park, Kathmandu Fun Valley, Maitidevi Temple, Kashmeeree jama masjid, Labim Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryabinayak Ganesh Temple, Casino Mahjong, Civil Mall, Nilbarahi, 1Durbar Mall, Embassy of Switzerland, Bhaktapur Durbar Square, Mahadevsthan Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maya Manor Boutique Hotel, Kathmandu Boutique Hotel, Jawlakhel, Club Déjà vu, Boudhanath Temple, Suryabinayak Ganesh Temple, Daman, Club Platinium, Embassy of Germany, Bajrabarahi, Kalikasthan Temple, Bhaktapur Durbar Square, 1Durbar Mall, The last resort, Chandragiri Temple, Sukute Beach, Ason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna Mandir, Casino Mahjong, Lainchour, Changunarayan Temple, Lord Of The Drinks, Labim Mall, Kalikasthan Temple, Naxal, SiddhaPokhari, Embassy of Switzerland, Casino Royale, Kathmandu Durbar Square, Civil Service Hospital, Kathmandu Boutique Hotel, Embassy of Germany, Thamel Market, Champadevi, Mahadevsthan Temple, City Centre, Kathmandu Fun Valley, The last resort, Royal Nepal Golf Course, Ghantaghar, Lazimpat, RaniPokhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naxal, Santaneshwor Mahadev, Labim Mall, US embassy, Embassy of Germany, NewRoad, Civil Service Hospital, The last resort, City Centre, Gokarna Golf Course, Kathmandu Funpark, Maitidevi Temple, Tu Teaching Hospital, Kalikasthan Temple, Military museum, Birendra Park, New Baneshwar, Dhulikhel Zipline, Bajrabarahi, Kashmeeree jama masjid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casino Mahjong, Central Zoo, Naya bus park, Buddhanilkantha, Thamel Market, Bhasmashur Danda, Freak street, Jawlakhel, Boudhanath Temple, Gokarna Golf Course, Lainchour, Embassy of Germany, Garden Of Dreams, Kathmandu Boutique Hotel, Kamladi Ganeshthan Temple, Chandragiri hills, Nagdaha, Maya Manor Boutique Hotel, Club Déjà vu, Labim Mall, Dhulikhel Zipline, Maitidevi Temple, City Centre, US embassy, Trisara, Naxal, Santaneshwor Mahadev, Kalikasthan Temple, Sherpa Mall, Ason, Casino place, Godawari, Suryabinayak Ganesh Temple, Sankha Park, Jhamshikhel, British Embassy, RaniPokhari, Kashmeeree jama masjid, Civil Mall, National history Museum, New Baneshwar, Fulchowki, Jame Masjid, Nepal police hospital, Eyeplex Mall, Babar Mahal Villas, Nagarkot, Military museum, Casino Royale, Daman, Mahadevsthan Temple, Kathmandu Fun Valley, SiddhaPokhari, Arushi Boutique hotel, Lazimpat, Whoopee land amusement park, The millionaire's club and casino, National museum, Pilot Baba Ashram, Champadevi,,,,,,,,,,,,,,
Kasthamandap, Embassy of Switzerland, Kathmandu Durbar Square, Garden Of Dreams, Shivapuri, Bhadrakali Temple, Lainchour, Lord Of The Drinks, Om Hospital, Embassy of Japan, Babar Mahal Villas, 1Durbar Mall, Shankhadhar Park, Tu Teaching Hospital, Purple Haze RockBar, Casino place, Nilbarahi, Daman, City Centre, Kathmandu Fun Valley, Indian Embassy, Ghantaghar, Dhulikhel Zipline, Maya Manor Boutique Hotel, Suryabinayak Ganesh Temple, Thamel Market, Nepal Pavillion Inn, Changunarayan Temple, Fulchowki, Kalikasthan Temple, Mahadevsthan Temple, Casino Mahjong, Tribhuvan Internation Airport, Chovar, Nepal mediciti Hospital, Taudaha, Trisara, Pashupatinath Temple, Nagarkot, Embassy of Germany, Kathmandu Boutique Hotel, Swayambunath Temple, Ratnapark, Civil Service Hospital, Bhasmashur Danda, Club Déjà vu, Chandragiri hills, Royal Nepal Golf Course, Kamalpokhari, Club Platinium, Santaneshwor Mahadev, Dharhara, Kamladi Ganeshthan Temple, Chisapani, Gokarna Golf Course, Boudhanath Temple, Sherpa Mall, Central Zoo, The millionaire's club and casino, New Baneshwar, Casino Royale, Aviation Museum, Jhamshikhel,,,,,,,,,,,
Jamal, Royal Nepal Golf Course, Maitidevi Temple, Nilbarahi, Durbarmarg, Kapan Gumba, Thamel Market, Dharhara, Ratnapark, Nagarkot, Tribhuvan Internation Airport, City Centre, Casino place, Pashupatinath Temple, Mahadevsthan Temple, Birendra Park, Sankha Park, Tribhuvan Park, Kasthamandap Boutique Hotel, Fulchowki, Durbar Square Patan, Kashmeeree jama masjid, Trisara, Royal Empire Boutique Hotel, Naya bus park, Buddhanilkantha, The millionaire's club and casino, Jhamshikhel, Indian Embassy, Om Hospital, Civil Mall, Santaneshwor Mahadev, Ghantaghar, Casino Mahjong, 1Durbar Mall, Casino Royale, Garden Of Dreams, Sukute Beach, Pilot Baba Ashram, Daman, Dhulikhel Zipline, Kathmandu Boutique Hotel, Gokarna Golf Course, Kalikasthan Temple, Kathmandu Funpark, Nagdaha, Maya Manor Boutique Hotel, Nagpokhari, New Baneshwar, Jame Masjid, Godawari, Kamladi Ganeshthan Temple, Eyeplex Mall, Tu Teaching Hospital, Club Platinium, NewRoad, Kamalpokhari, Chisapani, Boudhanath Temple, Krishna Mandir, Embassy of Switzerland, Ason, Kathmandu Durbar Square, Bhadrakali Temple, The last resort, Shankhadhar Park,,,,,,,,
Trisara, Bhaktapur Durbar Square, Tribhuvan Park, Bajrabarahi, Dhulikhel Zipline, Garden Of Dreams, Lainchour, Kamladi Ganeshthan Temple, Thamel Market, Krishna Mandir, Arushi Boutique hotel, Chovar, National museum, Gokarna Golf Course, Godawari, Military museum, Nepal mediciti Hospital, Club Déjà vu, Mahadevsthan Temple, Nepal police hospital, Kasthamandap, Naxal, Kathmandu Durbar Square, Casino place, Embassy of Germany, Nagarkot, Kapan Gumba, Santaneshwor Mahadev, The last resort, Casino Royale, 1Durbar Mall, Maitidevi Temple, Ason, Nagdaha, Om Hospital, Royal Empire Boutique Hotel, Purple Haze RockBar, Freak street, Chisapani, Kamalpokhari, City Centre, Birendra Park, Bhadrakali Temple, Jamal, Swayambunath Temple, Babar Mahal Villas, Jame Masjid, Suryabinayak Ganesh Temple, Naya bus park, Kashmeeree jama masjid, Sherpa Mall, Kalikasthan Temple, Pashupatinath Temple, Jhamshikhel, Tribhuvan Internation Airport, Dharhara, Jawlakhel, SiddhaPokhari, Royal Nepal Golf Course, Narayanhiti palace museum,,,,,,,,,,,,,,
Bhasmashur Danda, Sankha Park, Shankhadhar Park, Daman, Ratnapark, Babar Mahal Villas, Santaneshwor Mahadev, Mahadevsthan Temple, Dhulikhel Zipline, Indian Embassy, RaniPokhari, Military museum, Kasthamandap, Aviation Museum, Nepal Pavillion Inn, New Baneshwar, Lainchour, Ason, Bajrabarahi, Whoopee land amusement park, Kathmandu Durbar Square, Sherpa Mall, Central Zoo, Suryabinayak Ganesh Temple, Bhadrakali Temple, British Embassy, Fulchowki, Kathmandu Boutique Hotel, Kamladi Ganeshthan Temple, Jawlakhel, Royal Empire Boutique Hotel, Boudhanath Temple, Royal Nepal Golf Course, Labim Mall, Maya Manor Boutique Hotel, Tu Teaching Hospital, Nagdaha, Tribhuvan Internation Airport, The last resort, National history Museum, Embassy of Germany, Chovar, Gokarna Golf Course, Durbar Square Patan, Club Platinium, Kathmandu Fun Valley, Taudaha, Nagarkot, 1Durbar Mall, Arushi Boutique hotel, Narayanhiti palace museum, Sukute Beach, Birendra Park, US embassy, Shivapuri, Om Hospital, Durbarmarg, Maitidevi Temple,,,,,,,,,,,,,,,,
Naxal, Bhadrakali Temple, Thamel Market, Garden Of Dreams, Nilbarahi, Lainchour, New Baneshwar, Bhasmashur Danda, 1Durbar Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US embassy, Suryabinayak Ganesh Temple, City Centre, Sukute Beach, Lazimpat, Babar Mahal Villas, Chovar, Thamel Market, National museum, Chandragiri hills, British Embassy, Naya bus park, Durbarmarg, Embassy of Japan, Kathmandu Fun Valley, Swayambunath Temple, Nagdaha, 1Durbar Mall, National history Museum, Central Zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
